id,from,to,carrier,export_capacity,import_capacity
NL_BE_E,NL,BE,electricity,6400,6400
DE_NL_E,DE,NL,electricity,8000,8000
DE_BE_E,DE,BE,electricity,4000,4000
FR_DE_E,FR,DE,electricity,6800,6800
FR_BE_E,FR,BE,electricity,7300,5800
DK_DE_E,DK,DE,electricity,9100,9100
DK_NL_E,DK,NL,electricity,2700,2700
UK_BE_E,UK,BE,electricity,4400,4400
UK_DK_E,UK,DK,electricity,2800,2800
UK_FR_E,UK,FR,electricity,8150,8150
UK_NL_E,UK,NL,electricity,3000,3000
IE_UK_E,IE,UK,electricity,3950,3950
IE_FR_E,IE,FR,electricity,2100,2100
CH_DE_E,CH,DE,electricity,4500,5000
CH_FR_E,CH,FR,electricity,4200,6500
AT_CH_E,AT,CH,electricity,2200,2200
AT_DE_E,AT,DE,electricity,11500,11500
LU_BE_E,LU,BE,electricity,1180,1680
LU_DE_E,LU,DE,electricity,3700,3700
LU_FR_E,LU,FR,electricity,0,380
CZ_AT_E,CZ,AT,electricity,2400,2400
CZ_DE_E,CZ,DE,electricity,5500,5600
PL_DK_E,PL,DK,electricity,600,600
PL_CZ_E,PL,CZ,electricity,2800,2600
PL_DE_E,PL,DE,electricity,7000,6000
SE_DK_E,SE,DK,electricity,7715,8115
SE_PL_E,SE,PL,electricity,1600,1600
SE_DE_E,SE,DE,electricity,5015,5015
NO_DK_E,NO,DK,electricity,3632,3362
NO_NL_E,NO,NL,electricity,2700,2700
NO_DE_E,NO,DE,electricity,3400,3400
NO_SE_E,NO,SE,electricity,8695,8995
NO_UK_E,NO,UK,electricity,3400,3400
ES_FR_E,ES,FR,electricity,11000,11000
PT_ES_E,PT,ES,electricity,5500,6200
IT_FR_E,IT,FR,electricity,4160,6485
IT_CH_E,IT,CH,electricity,6110,8772
IT_AT_E,IT,AT,electricity,2345,2525
MT_IT_E,MT,IT,electricity,225,225
SI_AT_E,SI,AT,electricity,2950,2950
SI_IT_E,SI,IT,electricity,2153,2080
HU_AT_E,HU,AT,electricity,2800,2800
HU_SI_E,HU,SI,electricity,3200,3200
SK_CZ_E,SK,CZ,electricity,2600,3300
SK_HU_E,SK,HU,electricity,4513,3800
SK_PL_E,SK,PL,electricity,2818,2781
LT_SE_E,LT,SE,electricity,2300,2300
LT_PL_E,LT,PL,electricity,700,700
LV_LT_E,LV,LT,electricity,2450,2450
EE_LV_E,EE,LV,electricity,3950,3879
FI_EE_E,FI,EE,electricity,3116,3116
FI_SE_E,FI,SE,electricity,12100,12000
HR_HU_E,HR,HU,electricity,1800,2000
HR_SI_E,HR,SI,electricity,3500,3500
GR_IT_E,GR,IT,electricity,2500,2500
BG_GR_E,BG,GR,electricity,2700,2400
RO_BG_E,RO,BG,electricity,3190,3190
RO_HU_E,RO,HU,electricity,6175,7027
CY_GR_E,CY,GR,electricity,1000,1000
OBZLL_NL_E,OBZLL,NL,electricity,2000,2000
OBZLL_UK_E,OBZLL,UK,electricity,1800,1800
EU_AT_H_SMR_CCS,EU,AT,hydrogen,999999999,0
EU_BE_H_SMR_CCS,EU,BE,hydrogen,999999999,0
EU_BG_H_SMR_CCS,EU,BG,hydrogen,999999999,0
EU_CH_H_SMR_CCS,EU,CH,hydrogen,999999999,0
EU_CY_H_SMR_CCS,EU,CY,hydrogen,999999999,0
EU_CZ_H_SMR_CCS,EU,CZ,hydrogen,999999999,0
EU_DE_H_SMR_CCS,EU,DE,hydrogen,999999999,0
EU_DK_H_SMR_CCS,EU,DK,hydrogen,999999999,0
EU_EE_H_SMR_CCS,EU,EE,hydrogen,999999999,0
EU_ES_H_SMR_CCS,EU,ES,hydrogen,999999999,0
EU_FI_H_SMR_CCS,EU,FI,hydrogen,999999999,0
EU_FR_H_SMR_CCS,EU,FR,hydrogen,999999999,0
EU_GR_H_SMR_CCS,EU,GR,hydrogen,999999999,0
EU_HR_H_SMR_CCS,EU,HR,hydrogen,999999999,0
EU_HU_H_SMR_CCS,EU,HU,hydrogen,999999999,0
EU_IE_H_SMR_CCS,EU,IE,hydrogen,999999999,0
EU_IT_H_SMR_CCS,EU,IT,hydrogen,999999999,0
EU_LT_H_SMR_CCS,EU,LT,hydrogen,999999999,0
EU_LU_H_SMR_CCS,EU,LU,hydrogen,999999999,0
EU_LV_H_SMR_CCS,EU,LV,hydrogen,999999999,0
EU_MT_H_SMR_CCS,EU,MT,hydrogen,999999999,0
EU_NL_H_SMR_CCS,EU,NL,hydrogen,999999999,0
EU_NO_H_SMR_CCS,EU,NO,hydrogen,999999999,0
EU_PL_H_SMR_CCS,EU,PL,hydrogen,999999999,0
EU_PT_H_SMR_CCS,EU,PT,hydrogen,999999999,0
EU_RO_H_SMR_CCS,EU,RO,hydrogen,999999999,0
EU_SE_H_SMR_CCS,EU,SE,hydrogen,999999999,0
EU_SI_H_SMR_CCS,EU,SI,hydrogen,999999999,0
EU_SK_H_SMR_CCS,EU,SK,hydrogen,999999999,0
EU_UK_H_SMR_CCS,EU,UK,hydrogen,999999999,0
EU_OBZLL_H_SMR_CCS,EU,OBZLL,hydrogen,999999999,0